City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Paracuru,BR,-3.41,-39.0306,80.62,75,10,13.27,clear sky
80,Mataura,NZ,-46.1927,168.8643,43.48,85,41,3.31,scattered clouds
81,Iberia,US,29.9502,-91.7507,92.08,66,98,4.38,overcast clouds
82,Komsomolskiy,UZ,40.4272,71.7189,74.62,26,0,2.26,clear sky
83,Sioux Lookout,CA,50.1001,-91.917,77.38,33,79,9.8,broken clouds
84,Tuensang,IN,26.2833,94.8333,71.24,99,83,1.63,light rain
85,Tuatapere,NZ,-46.1333,167.6833,43.83,89,52,5.68,broken clouds
86,Mitu,CO,1.1983,-70.1733,78.55,94,61,1.79,broken clouds
87,Naze,JP,28.3667,129.4833,77.81,89,100,29.01,light rain
88,Sarab,IR,38.6066,44.9883,79.88,38,27,8.46,scattered clouds
89,Yulara,AU,-25.2406,130.9889,47.52,56,4,6.4,clear sky
90,Dunedin,NZ,-45.8742,170.5036,45.09,60,30,3.87,scattered clouds
91,San Buenaventura,MX,27.0833,-101.5333,99.0,28,14,8.05,few clouds
92,Kaitangata,NZ,-46.2817,169.8464,39.92,77,39,4.36,scattered clouds
93,Sinnamary,GF,5.3833,-52.95,80.4,84,82,12.73,broken clouds
94,Manta,EC,-0.95,-80.7333,76.57,72,76,12.59,broken clouds
95,Dingle,PH,10.9995,122.6711,78.26,86,100,11.54,overcast clouds
96,Dunn,US,44.95,-91.8835,91.65,62,18,14.97,few clouds
97,Faanui,PF,-16.4833,-151.75,78.22,67,8,15.77,clear sky
98,Jamestown,US,42.097,-79.2353,78.3,55,11,3.0,few clouds
99,Vieux-Habitants,GP,16.0589,-61.7659,81.97,73,38,13.27,scattered clouds
100,Zhezkazgan,KZ,47.8043,67.7144,80.13,29,0,6.8,clear sky
101,Charters Towers,AU,-20.1,146.2667,60.55,58,8,8.95,clear sky
102,Martapura,ID,-3.4167,114.85,73.49,100,100,1.14,mist
103,Harindanga,IN,22.0383,88.3214,84.18,84,100,12.64,overcast clouds
104,Grand Gaube,MU,-20.0064,57.6608,67.37,76,41,1.99,scattered clouds
105,Carnarvon,AU,-24.8667,113.6333,59.07,67,80,12.66,broken clouds
106,Lavrentiya,RU,65.5833,-171.0,48.24,72,89,5.84,overcast clouds
107,Bosaso,SO,11.2842,49.1816,93.0,42,66,13.02,broken clouds
108,San Policarpo,PH,12.1791,125.5072,81.7,72,100,14.0,heavy intensity rain
109,Yellowknife,CA,62.456,-114.3525,74.28,64,94,10.0,light rain
110,Bethel,US,41.3712,-73.414,81.66,62,70,1.99,broken clouds
111,La Rioja,ES,42.25,-2.5,64.18,57,100,2.73,overcast clouds
112,Alihe,CN,50.5667,123.7167,63.86,98,17,3.47,light rain
113,Pisco,PE,-13.7,-76.2167,63.01,82,4,10.89,clear sky
114,Garden City,US,42.3256,-83.331,77.49,77,36,8.46,scattered clouds
115,Sao Filipe,CV,14.8961,-24.4956,73.78,76,19,9.48,few clouds
116,Mar Del Plata,AR,-38.0023,-57.5575,56.88,65,100,1.99,overcast clouds
117,Birjand,IR,32.8663,59.2211,78.87,18,0,11.48,clear sky
118,Kamenka,RU,51.3223,42.7678,61.29,61,0,6.13,clear sky
119,Grafton,US,42.207,-71.6856,77.81,61,99,2.8,overcast clouds
120,Thompson,CA,55.7435,-97.8558,71.76,35,75,25.32,broken clouds
121,Baracoa,CU,20.3467,-74.4958,84.61,71,65,8.08,broken clouds
122,Vaitape,PF,-16.5167,-151.75,78.21,67,8,15.7,clear sky
123,Turukhansk,RU,65.8167,87.9833,66.88,83,100,18.52,overcast clouds
124,Turbat,PK,26.0023,63.044,83.79,76,36,6.22,scattered clouds
125,Kodiak,US,57.79,-152.4072,51.57,96,100,13.94,light rain
126,San Patricio,US,28.017,-97.5169,95.54,44,0,17.9,clear sky
127,Iqaluit,CA,63.7506,-68.5145,50.7,87,69,8.01,broken clouds
128,Barranca,PE,-10.75,-77.7667,64.92,78,28,11.21,scattered clouds
129,Puerto Quijarro,BO,-17.7833,-57.7667,91.08,20,0,3.06,clear sky
130,Aljezur,PT,37.3191,-8.8033,63.45,88,0,13.33,clear sky
131,Nikolskoye,RU,59.7035,30.7861,61.81,65,93,2.8,overcast clouds
132,Ust-Kuyga,RU,70.0167,135.6,57.58,55,96,4.32,overcast clouds
133,Butaritari,KI,3.0707,172.7902,83.91,73,51,16.04,broken clouds
134,Parana,AR,-31.732,-60.5238,77.52,44,4,6.17,clear sky
135,Taybad,IR,34.74,60.7756,84.96,15,0,10.38,clear sky
136,Constitucion,CL,-35.3333,-72.4167,57.27,74,100,10.13,overcast clouds
137,Santiago,CL,-33.4569,-70.6483,71.04,35,75,6.91,haze
138,Bredasdorp,ZA,-34.5322,20.0403,47.39,81,0,13.49,clear sky
139,Santa Cruz Del Norte,CU,23.1539,-81.9236,93.72,67,7,10.02,clear sky
140,Katima Mulilo,NA,-17.5,24.2667,52.59,30,51,4.74,broken clouds
141,Katsuura,JP,35.1333,140.3,81.1,83,0,1.39,clear sky
142,Upernavik,GL,72.7868,-56.1549,40.57,93,100,4.76,light rain
143,Laguna,US,38.421,-121.4238,106.14,26,1,1.99,clear sky
144,Sterling,US,39.0062,-77.4286,87.35,41,1,1.01,clear sky
145,Egvekinot,RU,66.3167,-179.1667,46.62,84,83,5.88,broken clouds
