City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
621,Changping,CN,76.51,broken clouds,40.2186,116.2197,Huachang Hotel
623,Shieli,KZ,82.27,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
626,Gualaquiza,EC,72.32,light rain,-3.4,-78.55,Hotel Merceditas
628,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
629,Ayame,CI,71.91,scattered clouds,5.6083,-3.1563,Hotel Bossan
631,Bom Jesus,BR,81.09,clear sky,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
632,Calatrava,PH,81.18,overcast clouds,10.595,123.4838,Cassandras Beach
633,Bikapur,IN,84.78,few clouds,26.6,82.1333,Hotel Tirupati
634,Cockburn Town,TC,81.95,few clouds,21.4612,-71.1419,Osprey Beach Hotel
638,Huanren,CN,70.72,overcast clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
639,Buala,SB,81.23,light rain,-8.145,159.5921,Maringe Lagoon Lodge
643,Malpe,IN,79.9,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
645,Mogadishu,SO,76.62,few clouds,2.0371,45.3438,Hotel Juba
646,Puri,IN,83.37,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
647,Goure,NE,82.02,scattered clouds,13.9835,10.2704,Gouré
648,La Grande,US,86.02,clear sky,45.3246,-118.0877,Travelodge by Wyndham La Grande
649,Sao Desiderio,BR,79.02,broken clouds,-12.3633,-44.9733,Hotel azaf
652,Trenggalek,ID,73.11,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
653,Ler,SS,74.62,overcast clouds,8.3018,30.1418,Leer
654,Banda Aceh,ID,80.44,overcast clouds,5.5577,95.3222,Sulthan Hotel International
656,Sonoita,MX,88.47,overcast clouds,31.85,-112.8333,Hotel Nora
657,Kathu,TH,86.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
659,Doka,SD,74.26,overcast clouds,13.5167,35.7667,Doka
660,Bobo Dioulasso,BF,76.64,overcast clouds,11.1771,-4.2979,RAN Hotel Somketa
662,Canelli,IT,77.99,overcast clouds,44.7215,8.2924,Residenza San Vito
665,Araguacu,BR,83.39,scattered clouds,-12.9306,-49.8264,Hotel Tocantins
666,Bodden Town,KY,87.98,overcast clouds,19.2833,-81.25,Will T Place
668,Lafiagi,NG,75.31,overcast clouds,8.8667,5.4167,Bus group international
669,Ruidoso,US,73.45,few clouds,33.3317,-105.673,Inn of the Mountain Gods
671,Sembakung,ID,74.23,overcast clouds,3.8167,117.25,Paladju
673,Salinopolis,BR,78.24,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
676,Poum,NC,71.49,clear sky,-20.2333,164.0167,Gîte kajeon
677,Seoni Malwa,IN,73.9,overcast clouds,22.45,77.4667,hotel naman residency
678,Bandarbeyla,SO,76.78,few clouds,9.4942,50.8122,JABIR HOTEL
682,Tessalit,ML,87.33,broken clouds,20.1986,1.0114,Achemelmel
686,Gombong,ID,72.82,broken clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
